,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,761","3,102","3,312","3,750","4,911","5,186","5,918","6,964","6,267","8,306","9,114"
Expenses +,"2,567","2,863","3,043","3,579","4,471","4,741","5,462","6,475","5,703","7,637","8,497"
Operating Profit,194,240,269,171,440,445,456,489,564,669,617
OPM %,7%,8%,8%,5%,9%,9%,8%,7%,9%,8%,7%
Other Income +,11,36,104,315,95,58,154,49,90,109,107
Interest,49,40,65,98,86,45,34,42,46,63,82
Depreciation,19,28,37,52,75,86,98,148,154,173,181
Profit before tax,137,207,271,336,375,372,477,349,453,542,461
Tax %,29%,24%,22%,22%,27%,32%,27%,14%,23%,23%,
Net Profit,97,157,210,261,273,251,349,301,348,419,360
EPS in Rs,73.04,118.36,22.69,28.19,13.44,11.94,17.13,15.94,16.33,20.96,17.79
