,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,10,12,12,12,12,12,12,14,15,17,38,46
Reserves,47,146,157,186,223,260,294,330,390,449,501,595
Borrowings +,41,103,201,279,292,388,477,466,493,564,659,712
Other Liabilities +,60,103,200,211,360,394,483,752,736,820,847,"1,291"
Total Liabilities,158,365,571,688,887,"1,054","1,267","1,562","1,634","1,850","2,044","2,645"
Fixed Assets +,40,74,107,138,141,166,151,147,162,186,193,233
CWIP,4,11,15,12,35,45,46,56,98,95,82,82
Investments,1,49,28,63,28,31,35,41,44,45,31,16
Other Assets +,112,230,422,475,683,811,"1,035","1,317","1,330","1,525","1,739","2,313"
Total Assets,158,365,571,688,887,"1,054","1,267","1,562","1,634","1,850","2,044","2,645"
