,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,2.49,0.86,9.06,14.31,6.39,8.19,11.50
Expenses +,1.07,0.79,2.65,4.13,3.80,4.18,3.57
Operating Profit,1.42,0.07,6.41,10.18,2.59,4.01,7.93
OPM %,57.03%,8.14%,70.75%,71.14%,40.53%,48.96%,68.96%
Other Income +,0.00,0.57,0.40,2.20,1.30,1.80,1.48
Interest,0.02,0.02,0.08,1.81,1.91,1.62,1.62
Depreciation,0.02,0.02,0.04,0.17,0.19,0.19,0.20
Profit before tax,1.38,0.60,6.69,10.40,1.79,4.00,7.59
Tax %,19.57%,20.00%,2.39%,6.73%,-18.44%,5.50%,
Net Profit,1.12,0.50,6.53,9.70,2.12,3.79,7.27
EPS in Rs,0.35,0.16,2.04,3.03,0.66,1.18,2.01
