,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,100","1,280","2,169","2,555","3,044","3,520","3,619"
Expenses +,999,"1,132","1,925","2,317","2,634","3,129","3,319"
Operating Profit,100,148,244,238,410,391,300
OPM %,9%,12%,11%,9%,13%,11%,8%
Other Income +,9,23,12,32,64,33,38
Interest,9,4,25,39,28,13,12
Depreciation,40,47,68,97,109,116,110
Profit before tax,60,120,163,134,337,295,216
Tax %,33%,33%,38%,21%,23%,29%,
Net Profit,40,81,101,106,260,210,165
EPS in Rs,53.53,108.21,135.72,141.68,346.68,280.07,219.28
