,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,890,"1,353","1,547","1,952","2,780","3,191","4,000","6,502","1,508",685,314,779,878
Expenses +,750,"1,112","1,166","1,417","2,057","2,370","3,054","5,495","1,530",661,286,624,776
Operating Profit,140,242,382,535,723,821,946,"1,007",-22,24,28,155,102
OPM %,16%,18%,25%,27%,26%,26%,24%,15%,-1%,3%,9%,20%,12%
Other Income +,-0,5,5,6,6,6,5,34,82,83,70,2,4
Interest,18,56,86,78,75,56,50,10,-0,-0,-0,-0,0
Depreciation,55,87,157,181,165,164,73,7,9,15,15,15,16
Profit before tax,67,103,144,282,489,606,828,"1,024",51,92,83,142,89
Tax %,28%,31%,27%,38%,34%,35%,36%,34%,51%,22%,24%,23%,
Net Profit,48,71,104,175,322,395,531,680,25,71,63,110,69
EPS in Rs,0.51,0.71,1.04,1.74,3.20,3.73,5.01,6.43,0.24,0.67,0.59,1.03,0.65
