,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,230,247,201,214,209,310,263,276,227,"1,204","2,340","1,905"
Borrowings +,17,27,15,15,22,20,20,22,1,4,503,539
Other Liabilities +,1,27,1,3,4,10,12,9,7,276,574,492
Total Liabilities,260,311,228,242,246,351,307,319,247,"1,494","3,428","2,947"
Fixed Assets +,0,0,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,74,74,17,158,158,273,280,295,241,"1,489","3,405","2,887"
Other Assets +,186,237,211,84,88,78,26,24,6,6,24,61
Total Assets,260,311,228,242,246,351,307,319,247,"1,494","3,428","2,947"
