,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,267,290,347,487,525,446,764,798,844,"1,103",900,"1,039","1,192"
Expenses +,195,217,269,364,393,309,565,579,711,889,759,877,"1,009"
Operating Profit,73,73,78,123,132,136,199,220,133,213,140,162,183
OPM %,27%,25%,22%,25%,25%,31%,26%,28%,16%,19%,16%,16%,15%
Other Income +,9,6,18,16,34,33,43,54,15,51,24,40,49
Interest,0,1,1,0,1,0,1,2,8,13,12,10,9
Depreciation,5,5,4,4,4,4,7,7,10,21,21,24,24
Profit before tax,76,73,91,135,161,165,235,265,130,230,131,168,199
Tax %,32%,27%,34%,22%,28%,28%,29%,27%,30%,21%,18%,28%,
Net Profit,51,53,60,106,116,118,166,193,92,182,107,121,146
EPS in Rs,,7.59,8.59,15.10,16.56,16.91,23.77,27.52,13.19,25.94,15.34,17.20,20.88
