,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,678,"1,019","1,414","1,736","2,093","2,438","2,583","3,018","3,563","3,927","3,312","4,396","4,943"
Expenses +,558,828,"1,171","1,486","1,836","2,173","2,339","2,576","2,961","3,045","2,532","3,290","3,749"
Operating Profit,120,191,243,250,256,265,245,442,603,883,780,"1,106","1,195"
OPM %,18%,19%,17%,14%,12%,11%,9%,15%,17%,22%,24%,25%,24%
Other Income +,1,-1,6,9,6,10,-1,21,44,38,64,26,61
Interest,0,-0,0,-0,-0,-0,-0,-0,-0,165,163,176,188
Depreciation,29,38,56,79,101,128,155,160,157,352,375,393,431
Profit before tax,92,152,194,180,161,147,88,303,490,403,306,563,637
Tax %,22%,32%,32%,34%,31%,34%,35%,35%,35%,31%,25%,26%,
Net Profit,72,103,131,118,111,97,58,196,318,279,231,418,473
EPS in Rs,1.11,1.59,2.01,1.81,1.69,1.47,0.88,2.97,4.85,4.24,3.51,6.37,7.20
