,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,922","2,871","3,876","5,250","5,931","6,721","7,963","8,652","8,608","10,253","10,856"
Expenses +,"1,660","2,421","3,370","4,805","5,582","6,089","6,886","7,187","7,506","8,720","9,388"
Operating Profit,261,451,506,445,349,632,"1,077","1,465","1,103","1,533","1,468"
OPM %,14%,16%,13%,8%,6%,9%,14%,17%,13%,15%,14%
Other Income +,11,19,23,25,453,177,-155,-158,53,51,90
Interest,45,48,79,189,371,204,205,391,334,307,275
Depreciation,76,111,144,243,322,298,306,586,618,641,696
Profit before tax,151,310,306,38,108,308,410,330,205,637,587
Tax %,4%,9%,11%,78%,10%,8%,10%,5%,13%,6%,
Net Profit,149,284,272,8,98,282,367,315,178,601,548
EPS in Rs,7.26,4.69,7.00,0.20,2.52,5.32,6.59,5.54,2.96,10.53,9.80
