,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,127,157,167,159,162,182,183,201,236,222,66,144,228
Expenses +,88,116,134,121,130,142,130,147,164,158,58,108,150
Operating Profit,38,41,33,38,33,40,53,54,72,64,8,36,79
OPM %,30%,26%,20%,24%,20%,22%,29%,27%,31%,29%,12%,25%,34%
Other Income +,2,3,0,8,5,19,40,-195,-4,16,5,1,2
Interest,38,62,85,72,81,41,28,16,22,37,42,50,52
Depreciation,15,18,24,25,31,25,24,23,18,18,18,17,16
Profit before tax,-12,-36,-75,-52,-74,-7,41,-180,28,24,-46,-30,13
Tax %,-9%,18%,17%,18%,11%,-483%,-1%,-7%,39%,-2%,21%,25%,
Net Profit,-13,-30,-62,-42,-65,-39,42,-192,17,25,-36,-23,12
EPS in Rs,-8.93,-15.49,-32.66,-17.93,-27.66,-16.71,17.62,-81.50,7.16,10.50,-15.39,-9.61,5.27
