,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,482","1,513","1,611","1,946","2,336","1,943","1,864","2,324","2,717"
Expenses +,"1,343","1,372","1,466","1,743","2,091","1,757","1,686","2,130","2,499"
Operating Profit,139,141,146,203,245,187,177,193,218
OPM %,9%,9%,9%,10%,10%,10%,10%,8%,8%
Other Income +,6,1,7,4,6,10,11,6,9
Interest,41,42,43,43,24,20,16,18,26
Depreciation,52,55,58,68,81,98,94,100,109
Profit before tax,51,45,52,97,145,78,78,81,92
Tax %,25%,25%,20%,32%,34%,27%,26%,31%,
Net Profit,38,34,42,66,96,57,58,56,60
EPS in Rs,7.48,6.54,8.07,10.80,15.81,9.45,9.59,9.26,9.88
