,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,357,401,459,531,455,407,400,372,322,335,544,596,549
Expenses +,267,298,339,393,366,326,349,333,289,295,490,534,504
Operating Profit,89,103,120,138,89,81,51,39,33,41,54,62,45
OPM %,25%,26%,26%,26%,20%,20%,13%,11%,10%,12%,10%,10%,8%
Other Income +,0,0,0,0,1,2,2,2,-3,-4,43,8,7
Interest,19,27,25,29,41,38,34,35,25,13,13,0,1
Depreciation,18,25,33,40,46,42,40,34,34,32,35,34,33
Profit before tax,53,51,63,69,3,4,-22,-28,-30,-8,49,36,19
Tax %,12%,7%,9%,7%,-95%,52%,21%,-11%,4%,-24%,-27%,-12%,
Net Profit,46,47,57,64,5,2,-17,-31,-29,-10,62,41,18
EPS in Rs,50.63,48.33,54.36,56.20,4.51,1.49,-13.84,-24.87,-23.15,-8.10,50.05,30.46,13.54
