,Sep 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,108,137,284,233,249,295,388,301,302,308
Expenses +,116,144,343,257,301,354,511,298,250,230
Operating Profit,-8,-7,-59,-24,-52,-59,-123,4,52,78
OPM %,-7%,-5%,-21%,-10%,-21%,-20%,-32%,1%,17%,25%
Other Income +,2,4,2,2,4,6,27,-37,-514,8
Interest,14,4,17,30,31,49,121,159,163,164
Depreciation,10,18,39,40,46,43,29,18,43,35
Profit before tax,-29,-25,-113,-92,-126,-145,-246,-210,-668,-114
Tax %,-0%,1%,0%,0%,0%,-0%,-0%,-0%,-0%,-0%
Net Profit,-29,-24,-113,-92,-126,-145,-246,-210,-668,-114
EPS in Rs,-3.70,-3.05,-14.23,-11.54,-15.80,-18.21,-30.97,-26.46,-84.12,-14.31
