,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,"2,059.55","2,396.20","3,183.58","1,763.02","1,138.35",471.39,20.72,20.54
Expenses +,"1,995.66","2,318.12","3,077.60","1,946.87","1,130.05",605.65,17.79,17.02
Operating Profit,63.89,78.08,105.98,-183.85,8.30,-134.26,2.93,3.52
OPM %,3.10%,3.26%,3.33%,-10.43%,0.73%,-28.48%,14.14%,17.14%
Other Income +,17.60,18.42,0.37,3.92,1.65,-46.36,-10.28,-7.46
Interest,53.27,62.62,68.06,56.89,17.08,7.68,1.23,1.35
Depreciation,4.69,5.19,10.53,7.72,6.75,6.53,4.57,1.89
Profit before tax,23.53,28.69,27.76,-244.54,-13.88,-194.83,-13.15,-7.18
Tax %,30.90%,36.39%,30.30%,0.56%,7.06%,0.77%,7.45%,
Net Profit,16.26,18.25,19.35,-243.16,-12.90,-193.33,-12.16,-6.17
EPS in Rs,14.19,11.72,12.38,-161.89,-8.59,-128.72,-8.10,-4.10
