,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,688","1,718","1,412","1,767","2,755","2,586","2,298","3,139","3,778"
Expenses +,"1,388","1,431","1,155","1,501","2,348","2,159","1,898","2,644","3,203"
Operating Profit,300,287,257,266,407,427,400,495,575
OPM %,18%,17%,18%,15%,15%,16%,17%,16%,15%
Other Income +,26,16,14,32,41,59,43,38,39
Interest,9,6,6,10,15,21,23,21,21
Depreciation,54,57,60,61,62,59,57,80,80
Profit before tax,262,240,205,228,371,406,363,431,514
Tax %,34%,31%,30%,33%,32%,24%,24%,25%,
Net Profit,173,165,144,152,253,308,276,323,386
EPS in Rs,24.74,23.58,20.55,21.65,36.08,43.87,39.37,46.03,55.11
