,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,252,158,174,195,202,232,217,210,184,202,231,395,360
Expenses +,228,171,157,171,184,194,184,184,181,166,181,299,287
Operating Profit,24,-13,17,24,18,38,33,25,2,36,49,96,73
OPM %,9%,-8%,10%,12%,9%,16%,15%,12%,1%,18%,21%,24%,20%
Other Income +,6,3,3,5,13,3,4,6,5,12,13,18,21
Interest,10,14,15,16,15,12,12,12,12,13,13,9,9
Depreciation,8,8,9,9,11,12,7,7,8,8,9,9,10
Profit before tax,11,-31,-4,4,5,17,18,11,-13,27,41,95,76
Tax %,-2%,-4%,-56%,32%,-20%,11%,9%,1%,15%,8%,14%,23%,
Net Profit,11,-32,-6,3,6,16,16,11,-11,25,36,73,58
EPS in Rs,14.16,-40.33,-7.85,3.20,7.33,19.12,17.66,12.30,-11.70,26.97,38.85,79.21,62.59
