,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,155.95,108.90,142.10,88.61,77.37,97.71,128.62,126.99,89.49
Expenses +,156.04,108.20,141.37,88.26,79.49,99.88,117.55,125.03,96.36
Operating Profit,-0.09,0.70,0.73,0.35,-2.12,-2.17,11.07,1.96,-6.87
OPM %,-0.06%,0.64%,0.51%,0.39%,-2.74%,-2.22%,8.61%,1.54%,-7.68%
Other Income +,1.59,0.81,0.70,0.25,0.42,0.68,0.95,0.69,0.77
Interest,0.23,0.16,0.26,0.14,0.50,0.34,0.08,0.32,0.31
Depreciation,0.21,0.20,0.24,0.23,0.19,0.79,0.07,0.06,0.06
Profit before tax,1.06,1.15,0.93,0.23,-2.39,-2.62,11.87,2.27,-6.47
Tax %,37.74%,33.91%,33.33%,195.65%,25.94%,-82.44%,14.32%,38.77%,
Net Profit,1.50,3.18,0.66,-0.27,-1.79,-4.80,10.16,1.37,-7.08
EPS in Rs,7.65,16.22,0.56,-0.23,-1.52,-4.08,8.64,1.46,-7.52
