,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,899,"1,392","2,008","2,497","3,090","4,154","3,924","5,335","7,152","7,723","8,500","13,063","14,853"
Expenses +,809,"1,277","1,849","2,332","2,908","3,872","3,590","4,964","6,759","7,246","7,821","12,118","13,959"
Operating Profit,90,115,160,165,182,282,334,371,393,478,679,946,894
OPM %,10%,8%,8%,7%,6%,7%,9%,7%,5%,6%,8%,7%,6%
Other Income +,2,0,1,2,4,-15,5,8,12,22,36,40,39
Interest,23,34,43,61,66,70,72,81,113,107,66,44,45
Depreciation,6,9,13,16,22,34,51,53,64,96,103,109,112
Profit before tax,63,72,105,89,98,163,216,244,227,296,546,832,776
Tax %,31%,32%,35%,34%,35%,38%,30%,35%,35%,14%,25%,26%,
Net Profit,43,49,69,59,64,101,152,158,148,256,408,619,575
EPS in Rs,2.12,2.30,3.08,2.52,2.72,4.29,6.45,6.66,6.22,9.58,14.42,22.27,21.95
