,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,025",892,765,895,904,"1,192","1,642","2,070","2,292","2,452","2,904","3,606","3,899"
Expenses +,881,760,648,763,778,"1,019","1,378","1,620","1,754","1,829","2,205","2,804","3,006"
Operating Profit,144,132,117,132,127,172,264,449,538,623,699,802,893
OPM %,14%,15%,15%,15%,14%,14%,16%,22%,23%,25%,24%,22%,23%
Other Income +,7,11,19,18,14,46,30,55,75,66,144,78,70
Interest,15,12,12,18,14,57,73,82,90,111,133,151,182
Depreciation,47,56,56,59,55,71,116,194,230,254,190,165,177
Profit before tax,89,76,67,72,71,90,106,228,292,324,520,563,604
Tax %,37%,35%,23%,9%,-0%,-24%,7%,-0%,9%,21%,26%,35%,
Net Profit,58,47,49,60,70,112,99,229,265,256,383,366,374
EPS in Rs,2.06,1.67,1.75,2.15,2.48,3.99,4.09,8.66,9.62,9.44,14.49,13.58,14.01
