,Sep 2006,Sep 2007,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,39,39,256,560,397,87,145,137,135,142,58,6,2
Expenses +,80,78,250,545,380,100,153,147,141,135,63,11,5
Operating Profit,-42,-39,6,15,17,-13,-8,-11,-6,7,-4,-5,-3
OPM %,-108%,-101%,2%,3%,4%,-15%,-6%,-8%,-4%,5%,-8%,-84%,-136%
Other Income +,18,41,5,17,1,23,13,24,4,2,35,-44,-61
Interest,5,2,0,0,0,0,1,1,1,7,10,2,2
Depreciation,4,4,1,4,5,4,13,14,14,26,25,6,5
Profit before tax,-33,-4,9,28,13,6,-9,-2,-17,-23,-4,-58,-70
Tax %,-0%,-2%,0%,0%,-121%,-0%,-53%,112%,-39%,-0%,-91%,-17%,
Net Profit,-33,-4,9,28,25,6,-19,-0,-24,-23,-9,-69,-80
EPS in Rs,,,0.37,1.12,0.95,0.23,-0.78,-0.08,-0.95,-0.93,-0.38,-2.77,-3.36
