,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,270,442,313,233,226,170,127,83,38,26,13,15,7
Expenses +,243,410,350,229,235,166,121,78,46,28,18,19,17
Operating Profit,27,32,-37,4,-10,4,6,5,-8,-2,-5,-5,-10
OPM %,10%,7%,-12%,2%,-4%,2%,5%,6%,-21%,-7%,-41%,-33%,-134%
Other Income +,10,7,2,-0,7,8,7,9,8,10,-2,5,56
Interest,9,12,16,16,23,23,15,13,13,13,14,14,16
Depreciation,12,16,17,17,18,7,4,3,3,2,1,1,1
Profit before tax,16,11,-69,-29,-44,-18,-6,-3,-16,-7,-23,-15,29
Tax %,20%,21%,3%,33%,23%,20%,-33%,-139%,-6%,16%,5%,-7%,
Net Profit,13,9,-66,-19,-34,-14,-8,-8,-17,-6,-22,-16,28
EPS in Rs,3.94,2.64,-20.08,-5.84,-10.16,-4.30,-2.52,-2.49,-5.21,-1.79,-6.52,-4.97,8.56
