,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,059","1,567","2,709","4,445","3,405",465,"1,436",760,711,625,607
Expenses +,862,"1,391","2,284","3,711","2,863",548,"1,287",877,902,925,976
Operating Profit,196,176,425,734,542,-83,149,-116,-191,-300,-369
OPM %,19%,11%,16%,17%,16%,-18%,10%,-15%,-27%,-48%,-61%
Other Income +,5,9,47,48,84,26,23,11,76,72,88
Interest,39,46,62,98,155,171,169,244,255,283,328
Depreciation,9,12,20,35,44,52,66,80,88,89,97
Profit before tax,154,128,389,649,427,-280,-62,-430,-459,-600,-706
Tax %,2%,-4%,24%,29%,29%,33%,36%,35%,33%,28%,
Net Profit,150,132,296,461,303,-188,-40,-279,-307,-430,-583
EPS in Rs,37.58,6.61,13.36,20.78,13.67,-8.45,-1.78,-12.60,-13.77,-19.26,-23.77
