,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,106,123,159,224,231,244,260,286,358,359,386,480,575
Expenses +,95,110,142,201,205,208,227,246,299,298,321,401,483
Operating Profit,11,13,17,23,26,36,33,40,59,61,64,79,92
OPM %,10%,11%,11%,10%,11%,15%,13%,14%,17%,17%,17%,16%,16%
Other Income +,1,1,1,1,2,2,2,2,2,4,4,11,10
Interest,4,4,4,4,4,4,5,5,5,5,3,3,3
Depreciation,2,2,1,2,1,1,1,3,4,7,7,7,9
Profit before tax,6,9,12,19,23,33,29,34,52,53,58,80,91
Tax %,14%,22%,12%,21%,23%,34%,30%,28%,27%,26%,22%,21%,
Net Profit,5,7,11,15,17,22,20,24,38,39,45,63,70
EPS in Rs,0.50,0.69,1.07,1.46,1.61,1.78,1.63,2.08,3.48,3.67,4.33,6.00,6.61
