,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,958,974,894,856,"2,640","2,572","2,719","2,918","2,662","2,421","3,149","3,645"
Expenses +,860,"1,359",808,"1,024","2,380","2,244","2,420","2,576","2,291","2,078","2,714","3,171"
Operating Profit,98,-385,86,-168,260,329,299,342,370,343,434,475
OPM %,10%,-40%,10%,-20%,10%,13%,11%,12%,14%,14%,14%,13%
Other Income +,35,"1,027",31,571,110,65,240,43,41,21,23,21
Interest,4,3,3,3,2,3,4,4,9,10,14,15
Depreciation,36,35,23,21,54,54,58,65,79,76,76,77
Profit before tax,94,603,90,379,314,337,478,316,323,278,367,404
Tax %,43%,23%,34%,22%,32%,27%,16%,33%,27%,25%,21%,
Net Profit,53,463,60,295,214,247,400,211,237,208,290,301
EPS in Rs,11.99,112.98,15.55,77.22,45.91,52.94,85.75,46.33,52.13,45.59,63.70,66.05
