,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,047","1,744","3,221","3,949","4,947","5,297","4,268","3,555","4,371","5,270","5,381"
Expenses +,"3,999","1,688","3,143","3,877","4,907","5,241","4,213","3,647","4,574","5,299","5,380"
Operating Profit,48,57,78,72,40,56,55,-91,-203,-30,1
OPM %,1%,3%,2%,2%,1%,1%,1%,-3%,-5%,-1%,0%
Other Income +,2,0,1,4,9,0,6,11,10,-17,6
Interest,31,34,49,58,35,33,32,53,46,45,46
Depreciation,16,16,9,7,8,7,7,7,6,5,4
Profit before tax,2,6,22,12,6,16,23,-141,-246,-96,-43
Tax %,-29%,8%,29%,57%,56%,12%,6%,0%,0%,0%,
Net Profit,2,6,15,5,3,14,21,-141,-246,-96,-43
EPS in Rs,0.78,1.93,5.24,1.73,0.91,4.92,7.32,-48.24,-84.32,-33.01,-14.81
