,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,225.62,264.56,252.61,140.09,94.17,81.74,15.75,0.63,0.10
Expenses +,219.38,258.08,256.05,144.09,100.61,87.59,25.29,6.10,2.94
Operating Profit,6.24,6.48,-3.44,-4.00,-6.44,-5.85,-9.54,-5.47,-2.84
OPM %,2.77%,2.45%,-1.36%,-2.86%,-6.84%,-7.16%,-60.57%,-868.25%,"-2,840.00%"
Other Income +,2.14,0.76,2.05,0.63,0.96,2.58,-15.31,7.92,0.57
Interest,1.40,3.33,6.89,8.23,7.26,6.88,2.36,0.95,0.47
Depreciation,1.11,1.63,1.53,4.07,3.84,3.92,2.07,0.37,0.18
Profit before tax,5.87,2.28,-9.81,-15.67,-16.58,-14.07,-29.28,1.13,-2.92
Tax %,42.42%,61.40%,-2.04%,4.79%,1.81%,6.47%,0.17%,0.88%,0.00%
Net Profit,4.37,1.10,-7.23,-14.93,-16.28,-13.16,-29.22,1.12,-2.92
EPS in Rs,4.59,1.83,-7.06,-15.68,-17.10,-13.23,-28.04,1.07,-2.80
