,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,192,242,260,377,504,353,470,768,"1,024"
Expenses +,187,227,240,354,488,344,452,726,985
Operating Profit,6,15,20,22,16,9,18,42,39
OPM %,3%,6%,8%,6%,3%,2%,4%,5%,4%
Other Income +,3,3,4,5,5,6,8,9,9
Interest,5,6,8,6,9,10,8,11,14
Depreciation,2,3,3,2,3,3,3,4,4
Profit before tax,1,9,13,18,9,2,15,36,29
Tax %,22%,30%,28%,31%,11%,80%,16%,24%,
Net Profit,1,6,9,13,8,0,12,27,22
EPS in Rs,0.02,0.16,0.24,0.30,0.20,0.01,0.29,0.65,0.52
