,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,268,274,302,296,324,302,377,349,339
Expenses +,226,237,245,243,262,284,314,323,342
Operating Profit,42,37,57,53,63,19,63,26,-3
OPM %,16%,13%,19%,18%,19%,6%,17%,7%,-1%
Other Income +,8,13,8,1,5,106,7,-83,-93
Interest,8,9,8,9,7,11,9,7,8
Depreciation,10,9,21,17,19,19,20,19,20
Profit before tax,32,32,36,28,42,95,41,-84,-124
Tax %,12%,21%,24%,-3%,32%,23%,25%,-12%,
Net Profit,28,25,27,29,28,73,31,-94,-138
EPS in Rs,26.96,24.10,25.84,27.62,26.76,69.71,29.26,-89.69,-130.92
