,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,268",591,341,318,263,206,141,120,365,169,25,219,221
Expenses +,914,570,337,277,247,265,224,358,466,405,134,317,230
Operating Profit,354,20,4,41,17,-59,-83,-238,-101,-235,-109,-98,-9
OPM %,28%,3%,1%,13%,6%,-29%,-59%,-199%,-28%,-139%,-444%,-45%,-4%
Other Income +,59,102,21,27,29,140,142,74,-34,97,282,527,"1,172"
Interest,65,7,18,38,53,86,96,119,160,261,334,286,50
Depreciation,7,8,14,8,14,14,11,6,2,1,1,1,0
Profit before tax,341,108,-7,22,-21,-19,-47,-289,-296,-401,-162,142,"1,113"
Tax %,11%,15%,89%,27%,112%,-19%,-57%,-4%,17%,-10%,-3%,85%,
Net Profit,302,92,-2,13,8,-23,-74,-301,-247,-440,-167,22,"1,044"
EPS in Rs,12.28,3.55,0.14,0.47,0.02,-0.76,-2.45,-10.30,-10.90,-17.20,-6.98,1.04,35.20
