,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,481,"1,028","1,430","1,715","1,528","1,615","1,831","1,843","1,720","2,222","2,564"
Expenses +,362,795,994,"1,316","1,119","1,093","1,382","1,449","1,387","1,877","2,190"
Operating Profit,119,233,436,399,408,521,449,394,333,345,375
OPM %,25%,23%,31%,23%,27%,32%,25%,21%,19%,16%,15%
Other Income +,2,3,1,1,2,4,5,29,-36,33,44
Interest,27,83,87,83,78,52,14,9,7,13,10
Depreciation,45,157,224,171,118,121,106,93,90,122,129
Profit before tax,49,-5,126,145,215,353,335,322,199,244,280
Tax %,12%,28%,4%,4%,6%,5%,9%,11%,6%,-1%,
Net Profit,43,-3,121,139,195,336,305,287,187,247,231
EPS in Rs,10.24,-1.00,28.30,3.20,4.64,7.89,7.13,6.92,4.54,6.11,5.71
