,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,619","3,066","3,248","3,747","5,078","5,619","5,450","6,570","7,674"
Expenses +,"2,220","2,547","2,663","3,172","4,164","4,509","4,442","5,155","6,032"
Operating Profit,399,519,586,576,915,"1,110","1,007","1,415","1,642"
OPM %,15%,17%,18%,15%,18%,20%,18%,22%,21%
Other Income +,25,84,58,193,223,209,154,152,200
Interest,3,2,2,2,2,36,46,44,43
Depreciation,48,59,62,89,104,183,218,214,228
Profit before tax,372,542,579,678,"1,031","1,100",897,"1,309","1,571"
Tax %,16%,23%,27%,25%,26%,25%,26%,27%,
Net Profit,311,419,425,507,768,822,666,961,"1,126"
EPS in Rs,10.36,55.88,41.78,49.39,73.61,78.33,63.14,90.68,106.31
