,Mar 2010,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,131,180,259,461,590,668,719,782,892,953,675,647,779
Expenses +,101,139,195,319,424,523,609,617,663,680,520,649,732
Operating Profit,30,41,65,142,166,144,110,164,229,273,155,-2,46
OPM %,23%,23%,25%,31%,28%,22%,15%,21%,26%,29%,23%,-0%,6%
Other Income +,4,8,18,40,49,80,87,66,93,140,150,122,103
Interest,0,0,0,0,0,0,0,0,0,9,7,7,7
Depreciation,5,7,9,17,24,31,40,36,34,52,42,30,30
Profit before tax,28,42,73,165,190,193,156,194,288,352,255,83,113
Tax %,35%,32%,29%,27%,27%,26%,22%,26%,28%,23%,16%,15%,
Net Profit,18,29,52,121,139,143,121,143,207,272,214,71,101
EPS in Rs,,,,17.19,19.70,20.55,17.45,21.25,31.94,41.96,34.61,8.47,12.02
