,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,308,246,226,243,259,275,318,307,345,354,370,469,548
Expenses +,278,223,220,240,256,262,292,286,318,324,330,405,471
Operating Profit,30,23,6,3,3,14,26,21,27,30,40,64,77
OPM %,10%,9%,3%,1%,1%,5%,8%,7%,8%,8%,11%,14%,14%
Other Income +,3,44,9,6,5,2,4,27,8,1,2,2,3
Interest,11,10,11,12,13,22,25,21,20,19,17,13,9
Depreciation,13,12,11,11,14,18,17,16,13,12,12,12,12
Profit before tax,9,44,-7,-15,-19,-25,-12,11,2,0,13,41,59
Tax %,-21%,24%,43%,31%,26%,-41%,-1%,0%,2%,2%,38%,-11%,
Net Profit,11,34,-4,-10,-14,-35,-12,10,2,0,8,45,64
EPS in Rs,6.82,19.64,-2.35,-5.94,-7.93,-20.07,-7.03,5.93,1.31,0.23,4.72,25.38,35.97
