,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,801,903,973,"1,037",974,"1,130","1,275","1,377","1,317","1,258","1,536","1,743"
Expenses +,716,810,880,956,860,994,"1,136","1,246","1,178","1,094","1,388","1,594"
Operating Profit,85,93,93,81,113,136,139,131,138,164,147,149
OPM %,11%,10%,10%,8%,12%,12%,11%,9%,10%,13%,10%,9%
Other Income +,10,10,17,163,24,35,32,32,38,38,30,27
Interest,1,0,0,1,1,3,3,2,2,2,2,2
Depreciation,9,9,9,11,7,9,9,10,12,14,15,16
Profit before tax,85,94,100,232,129,159,159,149,161,185,160,159
Tax %,32%,33%,35%,32%,39%,32%,33%,35%,24%,24%,23%,
Net Profit,58,63,65,159,86,108,107,97,122,141,123,122
EPS in Rs,33.67,36.58,37.67,92.18,49.39,61.87,61.05,55.41,69.75,80.76,70.54,70.12
