,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,341.33,389.70,355.96,335.24,301.26,216.24,105.53,132.01,131.84,128.35,66.36,44.36,44.03
Expenses +,331.69,372.95,339.60,322.57,293.24,210.17,104.70,121.93,125.76,119.30,80.07,47.04,51.21
Operating Profit,9.64,16.75,16.36,12.67,8.02,6.07,0.83,10.08,6.08,9.05,-13.71,-2.68,-7.18
OPM %,2.82%,4.30%,4.60%,3.78%,2.66%,2.81%,0.79%,7.64%,4.61%,7.05%,-20.66%,-6.04%,-16.31%
Other Income +,5.73,2.45,2.54,5.38,4.10,2.81,6.10,8.28,9.69,1.86,5.96,4.75,9.70
Interest,8.79,10.70,11.05,10.24,13.13,13.66,13.01,11.77,10.51,6.56,5.90,5.85,5.55
Depreciation,6.53,7.04,7.00,6.85,5.67,5.19,4.10,4.14,3.93,3.90,3.60,3.40,3.31
Profit before tax,0.05,1.46,0.85,0.96,-6.68,-9.97,-10.18,2.45,1.33,0.45,-17.25,-7.18,-6.34
Tax %,140.00%,13.01%,-8.24%,-25.00%,35.18%,45.14%,21.02%,18.37%,-34.59%,144.44%,-1.04%,53.48%,
Net Profit,-0.02,1.27,0.92,1.20,-4.32,-5.47,-8.04,2.00,1.79,-0.21,-17.43,-3.35,-2.10
EPS in Rs,,,0.37,0.44,-1.58,-1.99,-2.93,0.65,0.58,-0.07,-5.67,-1.07,-0.67
