,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,68,60,70,80,92,93,105,161,170,201,281,593,938
Expenses +,58,51,59,69,75,75,85,148,185,195,261,509,821
Operating Profit,10,9,11,11,17,18,20,14,-15,5,20,85,117
OPM %,15%,15%,15%,14%,18%,20%,19%,9%,-9%,3%,7%,14%,12%
Other Income +,1,1,1,0,1,1,1,7,15,44,11,6,15
Interest,4,5,6,6,6,6,6,6,15,14,8,9,22
Depreciation,3,3,2,2,6,5,2,3,7,18,13,29,31
Profit before tax,5,2,3,3,6,8,13,12,-22,17,11,52,79
Tax %,32%,20%,34%,31%,23%,29%,36%,25%,28%,22%,26%,32%,
Net Profit,3,2,2,2,5,6,8,9,-16,14,8,35,55
EPS in Rs,0.90,0.53,0.56,0.59,1.37,1.61,2.33,1.77,-1.99,1.65,0.98,4.31,6.65
