,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,700,"1,144","1,353","1,395","1,437","1,182","1,341","2,022","2,422","1,806","1,679","2,791","3,712"
Expenses +,500,965,"1,247","1,307","1,313","1,036","1,107","1,569","1,863","1,525","1,549","2,635","3,455"
Operating Profit,199,179,106,88,124,146,233,452,560,280,131,156,257
OPM %,28%,16%,8%,6%,9%,12%,17%,22%,23%,16%,8%,6%,7%
Other Income +,7,18,31,13,13,9,6,12,8,8,14,-17,-39
Interest,30,76,80,118,103,111,82,70,71,55,33,36,53
Depreciation,33,46,55,58,59,67,33,33,34,39,47,50,51
Profit before tax,142,75,2,-75,-24,-23,125,361,462,194,65,53,114
Tax %,20%,24%,-312%,22%,49%,19%,34%,31%,30%,-6%,27%,27%,
Net Profit,113,57,9,-58,-13,-19,82,248,324,205,47,39,90
EPS in Rs,2.94,1.48,0.24,-1.48,-0.32,-0.44,1.98,5.91,7.75,4.91,1.13,0.93,2.19
