,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,822,973,992,887,"1,048","1,165","1,167","1,014","1,119",890,437,510,608
Expenses +,746,871,862,787,956,"1,079","1,058",941,"1,014",793,420,485,562
Operating Profit,76,102,130,100,92,86,110,73,106,96,16,25,47
OPM %,9%,10%,13%,11%,9%,7%,9%,7%,9%,11%,4%,5%,8%
Other Income +,45,34,25,26,90,47,55,49,37,35,25,144,32
Interest,16,13,16,16,16,28,22,18,18,17,14,13,9
Depreciation,21,27,37,40,38,56,66,72,75,90,33,33,32
Profit before tax,84,96,102,70,129,49,75,32,49,24,-6,124,37
Tax %,30%,33%,32%,38%,34%,34%,34%,30%,18%,-6%,-27%,8%,
Net Profit,59,64,69,43,85,32,50,22,40,26,-7,114,29
EPS in Rs,4.07,3.76,3.39,2.12,2.75,1.19,2.40,1.14,2.31,1.44,-0.12,8.14,1.93
