,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,732,967,"1,171","1,364","1,557","1,518","1,501","1,633","2,207","1,947","1,982","3,193","3,788"
Expenses +,653,856,"1,038","1,209","1,366","1,328","1,336","1,429","1,949","1,717","1,784","2,860","3,405"
Operating Profit,79,112,133,155,191,190,165,204,258,230,198,333,383
OPM %,11%,12%,11%,11%,12%,13%,11%,12%,12%,12%,10%,10%,10%
Other Income +,2,6,4,6,6,6,35,24,27,16,12,21,29
Interest,20,39,43,36,35,53,53,49,59,64,55,76,92
Depreciation,23,30,33,40,40,59,50,56,75,74,76,91,109
Profit before tax,37,48,60,84,122,85,97,124,150,108,78,187,210
Tax %,34%,33%,37%,32%,24%,26%,26%,34%,35%,36%,37%,16%,
Net Profit,25,32,38,57,93,63,72,81,98,69,49,156,181
EPS in Rs,2.11,2.54,3.20,4.92,7.49,5.14,7.05,6.91,9.62,5.86,4.17,13.21,15.28
