,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,238,264,375,356,377,419,343,274,309,346
Expenses +,243,249,247,249,258,331,273,198,232,271
Operating Profit,-5,15,128,106,119,88,71,76,77,75
OPM %,-2%,6%,34%,30%,32%,21%,21%,28%,25%,22%
Other Income +,27,32,4,15,16,21,15,49,48,73
Interest,1,4,2,1,0,0,0,0,0,0
Depreciation,4,5,8,8,9,9,8,7,6,6
Profit before tax,16,38,123,113,126,99,77,117,118,142
Tax %,44%,32%,35%,36%,34%,35%,21%,23%,24%,
Net Profit,9,26,80,73,83,65,61,90,90,109
EPS in Rs,,,105.56,96.19,109.44,85.62,80.72,118.87,118.68,143.76
