,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,80,96,87,102,110,127,141,182,196,219,368,497
Expenses +,73,86,77,85,82,98,111,148,162,178,297,399
Operating Profit,7,10,9,16,28,29,30,34,35,41,71,98
OPM %,9%,11%,11%,16%,26%,23%,21%,19%,18%,19%,19%,20%
Other Income +,2,2,3,5,2,10,5,1,-11,17,6,5
Interest,0,1,0,0,0,0,1,1,1,1,1,1
Depreciation,0,0,0,0,1,1,1,1,1,1,3,4
Profit before tax,9,11,11,20,29,38,34,34,22,56,73,98
Tax %,28%,27%,30%,28%,31%,24%,29%,28%,35%,20%,22%,
Net Profit,6,8,8,15,20,29,24,24,14,45,57,77
EPS in Rs,0.53,0.63,0.58,1.15,1.56,2.32,2.04,2.02,1.18,3.85,4.98,6.81
