,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Sep 2011,Mar 2012,Mar 2013
Sales +,217,447,622,810,"1,371","2,684","1,321","1,763"
Expenses +,179,380,535,734,"1,186","2,294","1,161","2,028"
Operating Profit,38,67,87,75,184,391,160,-265
OPM %,17%,15%,14%,9%,13%,15%,12%,-15%
Other Income +,6,7,18,31,22,15,16,21
Interest,7,15,33,57,73,159,93,205
Depreciation,14,9,11,26,37,81,41,97
Profit before tax,23,49,61,24,97,165,43,-547
Tax %,14%,31%,37%,57%,42%,40%,35%,24%
Net Profit,20,34,39,10,56,100,28,-414
EPS in Rs,,16.34,18.69,4.87,20.03,31.82,9.29,-126.04
