,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,345,421,458,540,605,940,"1,203","1,431","1,590","1,563","1,641","1,840","2,346"
Expenses +,289,353,380,447,508,784,999,"1,194","1,357","1,344","1,404","1,580","2,083"
Operating Profit,56,68,78,93,97,156,204,237,233,219,237,260,263
OPM %,16%,16%,17%,17%,16%,17%,17%,17%,15%,14%,14%,14%,11%
Other Income +,5,4,8,4,4,10,18,21,38,-5,34,48,55
Interest,7,10,11,14,17,26,30,27,25,23,19,15,20
Depreciation,7,7,8,8,9,16,27,37,41,58,57,59,77
Profit before tax,47,55,67,74,75,123,164,193,205,133,194,235,221
Tax %,29%,27%,29%,32%,33%,35%,31%,28%,35%,22%,27%,26%,
Net Profit,33,40,47,51,50,80,114,138,134,104,143,173,153
EPS in Rs,2.73,3.32,3.93,4.23,4.19,5.48,8.66,9.90,9.57,7.43,10.20,12.51,11.08
