,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,24,30,30,30,35,35,37,37,37,37,37,37
Reserves,454,580,638,607,701,514,476,882,"1,045",782,825,-134,-703
Borrowings +,"3,008","4,953","6,524","9,429","4,264","3,825","2,199","2,312","2,220","2,041","2,123","2,748","3,502"
Other Liabilities +,"1,340","1,584","2,960","3,141","1,354","1,505","1,732","2,030","2,784","2,853","2,784","2,309","1,681"
Total Liabilities,"4,815","7,141","10,151","13,207","6,350","5,880","4,443","5,261","6,087","5,713","5,770","4,961","4,518"
Fixed Assets +,"1,077","1,542","1,712","1,700","1,340","1,127",394,419,439,456,392,348,304
CWIP,"1,279","2,200","4,970","7,933","1,481","1,310",30,6,7,17,29,9,9
Investments,34,362,358,260,739,859,978,"1,198","1,201",572,565,546,546
Other Assets +,"2,425","3,037","3,112","3,314","2,789","2,584","3,041","3,637","4,440","4,667","4,783","4,057","3,659"
Total Assets,"4,815","7,141","10,151","13,207","6,350","5,880","4,443","5,261","6,087","5,713","5,770","4,961","4,518"
