,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,206","2,200","1,971","1,594","1,501","1,726","2,115","2,912","3,463","3,439","3,901","3,102","1,939"
Expenses +,988,"1,886","1,566","1,195","1,157","1,519","1,807","2,471","2,936","3,080","3,465","3,512","2,781"
Operating Profit,218,313,405,399,344,207,308,441,527,359,435,-409,-842
OPM %,18%,14%,21%,25%,23%,12%,15%,15%,15%,10%,11%,-13%,-43%
Other Income +,10,5,9,-62,6,20,15,-136,8,5,8,-137,-127
Interest,117,221,270,269,265,186,257,275,284,337,321,338,417
Depreciation,62,82,112,111,120,44,43,55,66,91,84,76,68
Profit before tax,48,15,32,-43,-35,-3,23,-25,185,-64,38,-961,"-1,454"
Tax %,64%,153%,122%,-81%,-34%,-456%,101%,22%,13%,9%,-14%,0%,
Net Profit,18,-8,-7,-78,-48,-27,-0,-20,160,-58,43,-958,"-1,452"
EPS in Rs,2.84,,0.63,-4.30,-2.10,-1.53,-0.02,-1.04,8.55,-3.10,2.30,-51.19,-77.55
