,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,319,469,525,533,714,749,772,"1,013","1,189",957,849,"1,078","1,320"
Expenses +,279,423,478,479,641,671,687,905,"1,042",851,765,966,"1,169"
Operating Profit,40,46,46,53,73,78,85,108,146,106,83,112,151
OPM %,13%,10%,9%,10%,10%,10%,11%,11%,12%,11%,10%,10%,11%
Other Income +,3,5,7,4,2,3,4,9,3,3,3,3,3
Interest,9,13,11,11,20,22,26,30,35,39,36,30,28
Depreciation,14,17,20,21,26,27,27,32,38,44,49,53,58
Profit before tax,20,20,22,25,29,32,35,56,76,25,1,33,68
Tax %,22%,29%,23%,24%,32%,31%,30%,30%,31%,33%,279%,26%,
Net Profit,15,14,17,19,20,22,25,39,53,17,-2,24,51
EPS in Rs,14.06,13.11,15.35,17.42,18.04,18.12,20.14,28.94,38.82,12.36,-1.39,15.01,31.93
