,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,105,274,92,27,41,29,36,43,6,8,270
Expenses +,109,267,92,27,40,29,37,43,8,11,275
Operating Profit,-4,7,1,0,0,-0,-1,-0,-2,-2,-5
OPM %,-4%,2%,1%,0%,1%,-1%,-4%,-1%,-24%,-30%,-2%
Other Income +,5,3,1,1,1,1,2,1,2,2,0
Interest,0,0,1,1,1,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,1,9,0,0,0,-0,0,-0,-0,-1,-5
Tax %,23%,5%,28%,,50%,0%,100%,-133%,-11%,-275%,
Net Profit,1,8,0,-0,0,-0,0,-0,-0,-3,-5
EPS in Rs,0.12,1.16,0.03,-0.00,0.00,-0.02,0.00,-0.04,-0.06,-0.37,-0.70
