,Mar 2011,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,253,229,207,118,13,7,2,2,0,0,0,0,4
Expenses +,254,265,256,160,30,30,22,1,220,57,7,1,54
Operating Profit,-1,-36,-49,-42,-16,-23,-20,2,-219,-57,-7,-1,-50
OPM %,-1%,-16%,-24%,-35%,-120%,-328%,"-1,014%",68%,"-66,503%","-26,919%",,,"-1,229%"
Other Income +,4,6,134,-1,1,-4,24,40,9,0,-2,-55,22
Interest,32,33,66,48,25,5,4,-0,5,0,0,4,3
Depreciation,10,10,16,10,6,12,9,9,9,4,0,0,0
Profit before tax,-38,-73,3,-101,-47,-44,-9,32,-224,-61,-8,-59,-31
Tax %,-3%,13%,358%,1%,2%,-1%,-1%,0%,0%,0%,0%,0%,
Net Profit,-39,-63,-7,-101,-46,-45,-9,32,-224,-61,-8,-59,-31
EPS in Rs,-19.05,-30.45,-3.96,-47.90,-22.10,-20.62,-4.41,15.12,-85.38,-23.14,-3.19,-22.62,-12.55
