,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2022,TTM
Sales +,36,66,117,150,144,193,311,305,801,824
Expenses +,31,48,80,106,113,153,241,246,657,746
Operating Profit,6,18,37,44,31,41,70,59,144,79
OPM %,16%,28%,32%,29%,21%,21%,23%,19%,18%,10%
Other Income +,0,0,0,-4,4,4,3,1,3,3
Interest,3,4,7,7,7,28,36,37,30,36
Depreciation,3,3,5,6,6,16,17,17,58,60
Profit before tax,0,12,25,27,22,2,20,6,59,-15
Tax %,83%,0%,30%,37%,43%,53%,13%,32%,29%,
Net Profit,0,12,18,17,12,1,17,4,42,-18
EPS in Rs,0.01,3.07,4.65,4.44,3.22,0.19,4.52,1.14,10.93,-4.66
