,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,79,80,78,65,78,76,83,90,101,105,49,54,67
Expenses +,49,51,51,55,68,55,54,59,64,61,42,24,30
Operating Profit,30,28,27,10,10,21,29,31,36,44,7,30,37
OPM %,38%,36%,35%,15%,13%,27%,35%,34%,36%,42%,14%,55%,55%
Other Income +,7,16,20,13,5,11,12,11,7,5,8,5,5
Interest,0,0,2,5,5,5,6,7,6,7,5,3,2
Depreciation,1,2,3,5,5,5,5,5,4,4,4,4,4
Profit before tax,35,42,42,12,4,22,30,30,32,38,6,28,36
Tax %,33%,30%,29%,23%,-19%,34%,30%,26%,24%,28%,98%,17%,
Net Profit,23,30,30,9,5,14,21,22,24,27,0,23,29
EPS in Rs,12.84,16.43,16.62,5.39,3.21,7.98,11.56,12.22,13.29,14.97,0.08,12.60,15.66
