,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,99,104,117,108,100,116,97,71,95,74,71
Expenses +,88,96,106,100,100,108,88,76,82,77,76
Operating Profit,11,8,11,8,-0,8,9,-5,13,-2,-5
OPM %,11%,8%,9%,7%,-0%,7%,9%,-7%,14%,-3%,-7%
Other Income +,0,1,1,1,1,1,1,3,1,1,1
Interest,3,3,4,5,5,6,9,9,10,11,11
Depreciation,1,1,2,2,2,2,3,2,3,2,2
Profit before tax,8,5,6,2,-6,0,-2,-14,1,-14,-18
Tax %,40%,36%,45%,62%,-2%,-42%,-3%,-1%,12%,-0%,-0%
Net Profit,5,3,3,1,-6,1,-2,-14,1,-14,-18
EPS in Rs,4.85,3.21,3.34,0.60,-6.16,0.50,-1.80,-14.06,0.85,-14.21,-17.57
