,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,415","1,627","1,670","1,285","1,434","1,179","1,537","2,051","1,880","1,449","1,329","2,711","3,476"
Expenses +,761,866,784,668,909,890,"1,119","1,583","1,324","1,323","1,335","2,033","2,243"
Operating Profit,654,760,886,617,525,289,418,468,556,126,-6,679,"1,233"
OPM %,46%,47%,53%,48%,37%,24%,27%,23%,30%,9%,-0%,25%,35%
Other Income +,39,73,135,137,253,156,181,121,-70,173,-241,158,181
Interest,15,7,-0,0,2,1,1,2,2,2,2,2,2
Depreciation,93,108,117,125,138,131,151,119,96,92,94,98,97
Profit before tax,585,718,904,630,637,313,447,469,388,205,-343,737,"1,315"
Tax %,36%,32%,34%,30%,21%,30%,27%,26%,43%,28%,90%,45%,
Net Profit,375,487,601,439,501,219,325,347,220,146,-36,405,823
EPS in Rs,11.79,15.31,18.89,13.81,15.75,6.89,10.22,10.90,6.91,4.61,-1.12,12.73,25.89
