,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,209","3,341","4,686","6,439","8,584","11,898","15,033","20,005","24,870","24,143","30,976","41,032"
Expenses +,"2,071","3,126","4,345","5,983","7,919","10,929","13,680","18,371","22,742","22,398","28,474","37,427"
Operating Profit,138,215,341,456,664,969,"1,353","1,633","2,128","1,745","2,502","3,605"
OPM %,6%,6%,7%,7%,8%,8%,9%,8%,9%,7%,8%,9%
Other Income +,14,15,16,20,17,28,88,48,60,194,114,129
Interest,26,43,56,72,91,122,60,47,69,42,54,69
Depreciation,37,46,57,82,98,128,159,212,374,414,498,621
Profit before tax,89,141,245,323,492,747,"1,222","1,422","1,745","1,483","2,064","3,044"
Tax %,32%,34%,34%,34%,35%,36%,34%,37%,25%,26%,28%,
Net Profit,60,94,161,212,320,479,806,902,"1,301","1,099","1,492","2,345"
EPS in Rs,1.13,1.73,2.95,3.77,5.70,7.67,12.92,14.46,20.09,16.97,23.04,36.21
