,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,233","1,429","1,689","2,028","1,943","1,890","2,138","2,249","2,618","2,358","2,259","3,184","2,807"
Expenses +,"1,146","1,283","1,530","1,826","1,741","1,590","1,758","1,797","2,074","1,940","1,968","2,652","2,539"
Operating Profit,87,146,160,202,202,300,381,452,544,418,291,532,268
OPM %,7%,10%,9%,10%,10%,16%,18%,20%,21%,18%,13%,17%,10%
Other Income +,10,8,11,1,21,16,13,17,36,-12,12,18,79
Interest,54,54,67,85,87,95,96,107,163,195,177,181,234
Depreciation,56,56,52,54,45,67,58,72,109,126,152,158,163
Profit before tax,-14,45,52,63,91,154,239,290,308,85,-26,210,-50
Tax %,-13%,24%,-2%,14%,-3%,19%,24%,31%,36%,84%,-101%,33%,
Net Profit,-16,34,53,55,94,125,182,202,197,13,-53,141,-54
EPS in Rs,-1.68,3.36,5.82,6.43,9.69,12.72,18.50,20.48,19.99,1.35,-5.42,14.30,-5.43
