,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,365,371,388,408,442,458,513,526,448,661,717
Expenses +,331,344,360,366,411,423,468,484,425,601,651
Operating Profit,34,27,28,42,31,35,46,42,22,61,65
OPM %,9%,7%,7%,10%,7%,8%,9%,8%,5%,9%,9%
Other Income +,4,-8,34,3,9,10,10,9,-17,14,7
Interest,1,2,1,2,2,6,11,10,8,6,3
Depreciation,12,12,13,12,11,10,10,11,11,11,11
Profit before tax,24,4,48,32,27,28,36,31,-14,58,59
Tax %,31%,216%,33%,29%,34%,34%,31%,14%,26%,22%,
Net Profit,17,-5,32,22,18,18,25,26,-10,45,44
EPS in Rs,12.41,-3.76,23.43,16.47,13.13,13.54,18.05,19.21,-7.63,33.21,32.48
