,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,433","1,944","2,109","1,679","1,128","1,099","1,041",986,990,856,861,"1,174","1,235"
Expenses +,"1,204","1,664","1,742","1,355",928,918,864,895,906,784,760,946,"1,007"
Operating Profit,230,280,367,324,200,181,176,91,85,72,101,228,228
OPM %,16%,14%,17%,19%,18%,16%,17%,9%,9%,8%,12%,19%,18%
Other Income +,3,-15,-22,6,4,4,5,96,66,63,33,60,59
Interest,48,59,55,37,28,21,17,18,10,6,6,10,13
Depreciation,59,83,105,93,62,60,48,44,44,42,32,25,23
Profit before tax,127,123,184,200,113,104,116,126,97,88,96,254,251
Tax %,11%,4%,8%,4%,8%,10%,13%,24%,22%,30%,33%,27%,
Net Profit,113,118,169,191,104,94,101,96,75,61,65,186,158
EPS in Rs,17.21,18.16,25.99,29.21,15.79,14.24,15.36,14.48,11.16,8.95,9.11,27.95,23.98
