,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"265,050","357,677","395,957","433,521","374,372","272,583","303,954","390,823","568,337","596,679","466,307","698,672","873,898"
Expenses +,"226,427","324,501","362,802","398,586","336,923","230,802","257,647","326,508","484,087","507,413","385,517","588,077","738,204"
Operating Profit,"38,623","33,176","33,155","34,935","37,449","41,781","46,307","64,315","84,250","89,266","80,790","110,595","135,694"
OPM %,15%,9%,8%,8%,10%,15%,15%,16%,15%,15%,17%,16%,16%
Other Income +,"1,964","7,526","7,757","8,865","8,528","12,212","9,222","9,869","8,406","8,570","22,432","17,928","11,576"
Interest,"2,411","2,893","3,463","3,836","3,316","3,691","3,849","8,052","16,495","22,027","21,189","14,584","17,308"
Depreciation,"14,121","12,401","11,232","11,201","11,547","11,565","11,646","16,706","20,934","22,203","26,572","29,797","36,864"
Profit before tax,"24,055","25,408","26,217","28,763","31,114","38,737","40,034","49,426","55,227","53,606","55,461","84,142","93,098"
Tax %,20%,22%,20%,22%,24%,23%,25%,27%,28%,26%,3%,19%,
Net Profit,"19,272","19,717","20,886","22,548","23,640","29,861","29,833","36,080","39,837","39,880","53,739","67,845","70,782"
EPS in Rs,27.63,28.27,30.31,32.62,34.14,43.03,43.11,53.39,58.55,58.20,77.50,89.74,94.02
