,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,811","4,463","3,981","5,029","3,915","2,212","3,930","4,791","5,616","7,183","3,843","4,631","7,704"
Expenses +,"1,729","4,467","4,081","4,921","3,771","2,026","3,727","4,525","5,245","6,906","3,456","4,096","7,158"
Operating Profit,82,-4,-100,108,144,185,204,266,371,277,388,535,545
OPM %,5%,-0%,-3%,2%,4%,8%,5%,6%,7%,4%,10%,12%,7%
Other Income +,7,104,232,13,42,8,6,8,8,33,37,39,126
Interest,11,42,60,18,20,18,16,15,26,33,17,22,50
Depreciation,16,17,19,22,23,23,24,34,51,69,72,79,104
Profit before tax,61,41,53,80,142,153,169,225,302,208,336,472,517
Tax %,23%,45%,34%,14%,21%,17%,21%,5%,17%,35%,26%,18%,
Net Profit,47,22,35,69,112,126,133,214,252,134,249,385,420
EPS in Rs,1.40,0.59,1.01,1.83,3.10,3.39,3.57,5.92,6.63,2.93,6.36,10.19,11.21
