,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"10,005","11,249","12,094","13,632","5,800","5,269","5,517","8,031","7,998","5,110","2,964","5,561","6,419"
Expenses +,"8,678","10,445","11,711","13,019","5,511","5,181","5,645","7,893","7,699","5,079","2,848","4,893","5,588"
Operating Profit,"1,327",804,383,612,289,88,-128,138,299,31,116,669,831
OPM %,13%,7%,3%,4%,5%,2%,-2%,2%,4%,1%,4%,12%,13%
Other Income +,92,63,-21,281,72,-230,-5,-73,-116,-861,"1,655",550,453
Interest,34,57,95,137,105,80,186,426,432,365,206,82,45
Depreciation,194,260,203,262,245,172,143,252,225,211,138,101,97
Profit before tax,"1,191",550,64,495,12,-394,-463,-613,-475,"-1,407","1,427","1,035","1,142"
Tax %,26%,33%,158%,48%,-88%,-17%,-6%,-17%,-7%,5%,10%,12%,
Net Profit,889,373,-37,244,22,-461,-491,-715,-507,"-1,331","1,280",913,966
EPS in Rs,13.85,5.82,-0.56,3.90,0.37,-7.33,-7.83,-11.47,-8.03,-21.12,9.68,6.33,6.83
