,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,258","1,422","2,206","2,459","2,716","2,955","3,245","3,614","3,890","4,135","4,742","5,427","6,230"
Expenses +,"1,145","1,258","1,989","2,193","2,452","2,598","2,887","3,237","3,490","3,668","4,180","4,835","5,593"
Operating Profit,114,164,217,266,264,357,358,376,400,467,562,592,638
OPM %,9%,12%,10%,11%,10%,12%,11%,10%,10%,11%,12%,11%,10%
Other Income +,5,-22,22,16,45,-38,48,36,21,33,31,23,28
Interest,59,107,117,113,151,148,157,147,139,132,87,69,70
Depreciation,26,34,39,37,47,52,55,50,69,91,108,123,124
Profit before tax,34,-0,83,131,111,120,194,216,214,277,398,424,471
Tax %,26%,"-10,000%",27%,35%,31%,39%,33%,33%,36%,28%,27%,27%,
Net Profit,25,-1,60,85,76,72,129,144,137,199,289,309,343
EPS in Rs,0.87,-0.05,2.14,2.98,2.74,2.70,4.40,4.21,3.96,5.77,8.57,9.14,10.07
