,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,438","3,133","3,687","3,732","3,849","5,128","5,846","5,694","6,707","6,852","5,299","5,804","5,980"
Expenses +,"1,347","1,757","2,048","1,973","1,631","2,461","2,789","3,005","3,763","3,887","2,947","3,229","3,089"
Operating Profit,"1,091","1,376","1,639","1,759","2,218","2,667","3,057","2,689","2,944","2,965","2,352","2,575","2,891"
OPM %,45%,44%,44%,47%,58%,52%,52%,47%,44%,43%,44%,44%,48%
Other Income +,62,123,133,120,113,127,123,295,196,252,189,552,634
Interest,352,550,624,760,937,"1,070","1,342",976,"1,126","1,574","1,697","1,894","1,720"
Depreciation,225,297,442,477,707,853,855,544,540,468,582,683,776
Profit before tax,576,651,707,642,686,870,984,"1,464","1,473","1,175",262,550,"1,029"
Tax %,19%,24%,22%,28%,21%,26%,27%,37%,42%,39%,55%,34%,
Net Profit,464,496,554,460,542,640,715,920,850,721,117,361,696
EPS in Rs,13.61,14.92,16.75,13.81,15.45,18.18,20.36,26.17,24.18,20.51,3.33,5.98,11.51
