,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,29,32,48,73,94,83,117,160,178,241,450,395,537
Expenses +,24,27,41,63,78,74,105,149,180,226,404,361,486
Operating Profit,5,4,7,9,16,9,12,11,-2,15,46,34,50
OPM %,19%,14%,14%,13%,17%,11%,10%,7%,-1%,6%,10%,9%,9%
Other Income +,1,3,2,3,2,0,0,1,2,5,3,3,3
Interest,0,0,1,1,1,2,3,2,1,3,8,9,9
Depreciation,1,1,1,1,2,2,3,10,9,11,18,16,15
Profit before tax,6,7,8,10,15,5,6,-0,-9,6,24,11,29
Tax %,36%,32%,35%,35%,33%,30%,36%,24%,30%,33%,31%,42%,
Net Profit,4,5,5,6,10,4,4,-0,-6,4,16,7,20
EPS in Rs,45.00,56.88,61.62,77.50,125.75,44.50,13.17,-0.73,-19.03,17.92,56.47,21.76,61.30
