,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,300","1,729","1,209","1,355","1,019","1,434","2,150","3,052","2,645","2,308","4,200","5,307"
Expenses +,"1,908","1,558","1,120","1,249",980,"1,209","1,839","2,383","2,135","1,867","3,617","4,517"
Operating Profit,392,172,89,105,38,225,311,669,509,441,583,790
OPM %,17%,10%,7%,8%,4%,16%,14%,22%,19%,19%,14%,15%
Other Income +,76,70,64,74,57,76,99,-117,-197,-91,111,87
Interest,6,7,5,20,26,34,42,39,64,56,51,52
Depreciation,21,38,37,31,71,71,76,80,88,121,138,139
Profit before tax,441,197,111,129,-2,196,292,433,161,173,505,687
Tax %,30%,23%,13%,29%,"-1,521%",41%,31%,53%,29%,30%,20%,
Net Profit,308,152,102,118,-24,116,200,202,115,121,404,543
EPS in Rs,21.86,10.80,7.39,8.79,-1.81,9.21,15.73,17.48,6.26,7.32,28.37,39.06
