,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,047","1,123","1,173","1,051","1,065",992,"5,901","7,261","9,345","12,244","11,535","17,991","20,329"
Expenses +,77,90,101,122,136,126,"4,260","5,217","6,805","9,027","7,961","14,491","16,800"
Operating Profit,969,"1,034","1,072",929,928,866,"1,642","2,044","2,540","3,217","3,574","3,500","3,529"
OPM %,93%,92%,91%,88%,87%,87%,28%,28%,27%,26%,31%,19%,17%
Other Income +,43,45,66,57,42,94,118,122,135,108,130,148,157
Interest,99,130,126,142,118,80,278,242,427,369,227,112,91
Depreciation,153,182,186,184,189,183,436,447,468,518,542,579,602
Profit before tax,760,766,826,660,664,697,"1,046","1,477","1,780","2,438","2,936","2,957","2,993"
Tax %,34%,32%,35%,36%,38%,33%,31%,35%,33%,7%,25%,25%,
Net Profit,578,545,538,417,488,465,718,958,"1,190","2,279","2,192","2,231","2,260"
EPS in Rs,10.27,9.68,9.56,7.39,8.64,8.26,9.84,13.15,17.71,30.65,28.48,29.04,29.06
